Text,Verdict
We may have different approaches in terms of how we deal with local folks.,-1
Mr. Ford uh - actually has fewer people now in the private sector in non-farm jobs than when he took office.,1
Iran is taking over Iraq.,1
Because there's no way you can finance what you want to spend.,-1
"And as a matter of principle -- and my situation is unique, and I understand it -- I would take absolutely no compensation; I go as their servant.",-1
But what we want to do is to replenish the Social Security Trust Fund...,-1
"You know, this man has no credibility on the issue.",-1
"Somewhere out there there's an extraterrestrial that's doing this to us, I guess.",-1
The laws protect the American taxpayer in this regard.,1
Nowadays - 75 percent were for Israel before.,1
"In the last two years, I have made policy decisions involving - long-range difficulties and policies and made day-to-day judgments not only as president of the United States but as the leader of the free world What is the result of that leadership?",0
He did not say that.,0
And production on private -- on government land --,-1
The Natl Science Foundation did a study which said it would be difficult for us to reach fuel efficiency standards in excess of 37 miles per gallon by the year 2000.,1
He says mistakes were made.,-1
We sign a peace treaty.,0
And I got plans to reduce and eliminate unnecessary and wasteful spending and if there's anybody here who thinks there aren't agencies of government where spending can be cut and their budgets slashed they have not spent a lot of time in Washington.,-1
There is going to be the need for each and every one of us to start thinking about how we use energy.,-1
"There's no way you can pay for that five year, $40 billion tax cut for the rich and still buy all those weapons systems you want to buy unless you raid the Social Security Trust Fund.",-1
We can lend money but we have to do it wisely.,-1
That's money in your pocket.,-1
"I would say that ships that carry Iranian oil, can't come into our ports.",-1
"As I said at the beginning, the question before us all, that faces all Republicans and all Democrats, is: can freedom in the next generation conquer, or are the Communists going to be successful?",-1
I'll have an administration that will make you proud.,-1
That's what America's all about.,-1
"There are always trouble spots in the world, and how those troubled areas are addressed by a President alone in that Oval Office affects our nation directly, the involvement of the United States and also our American interests.",-1
"And even someone like Captain Khan, the young man who sacrificed himself defending our country in the United States Army, has been subject to attack by Donald.",1
I want to make sure that we have the ships that are required by our Navy.,-1
"We need to know the full extent of Senator Obama's relationship with ACORN, who is now on the verge of maybe perpetrating one of the greatest frauds in voter history in this country, maybe destroying the fabric of democracy.",1
I think it's worthy for a follow-up.,-1
Who can give themselves a 23% pay raise anywhere in the world except Congress?,-1
"Well, we're on the right track.",-1
And that one doesn't sound good and it's not affordable.,-1
"He keeps saying, ""Look, I've created 5 million jobs.""",1
My hope is that the African Union moves rapidly to help save lives.,-1
I wish America had that kind of record and I think most people looking at us tonight would like it if we had more jobs and a lower spending burden on the government.,-1
That's where the vast majority of people get their health care.,1
We don't have the S&L crisis anymore.,1
"It was my very first bill, and I'm very proud of it because it symbolizes what I think we ought to be doing.",0
"And we don't have the money, because it's been squandered on so many of your ideas.",1
We haven't seen the language yet.,0
Now one of the reasons I was able to get so many good women to be part of that team was because of our recruiting effort.,-1
we're confronted with the horrendous problems that we've discussed here tonight.,-1
"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it.""",-1
"This is the way it ought to work, give more power back to the states and back to the people back to the taxpayers, not always the long arm of the federal government.",-1
Then I would really focus on let's get these things out.,-1
That would be my answer to this question.,-1
We must not be divided on this issue.,-1
And this isn't -- this isn't going to be necessary.,-1
The difference is we've got a new policy.,1
He says he's going to give you tax cuts.,0
"Well, I think the fact that they're facing these repeated call-ups, some of them two and three deployments, and there's a stop- loss policy that prevents people from being able to get out when their time was up, is a reflection of the bad judgment this president exercised in how he has engaged in the world and deployed our forces.",1
And housing starts - he compares the housing starts with last year.,-1
"And I'm going to act responsibly, as I have acted responsibly throughout my military career and throughout my career in the United States Senate.",-1
"I didn't hear the word ""liberal"" or ""left"" one time.",-1
"These are they types of things that I think have been happening in a kind of a secular way that have been eroding that separation, and I am opposed to that.",-1
"I think that we have observed, ourselves, and have done our best to see that human rights are extended throughout the world.",-1
"But I know how to get America working again, restore our economy and take care of working Americans.",-1
And he defined that as someone who uses beans in place of meat.,0
You can look at me.,-1
You've been president four years.,0
"And I think we've got to have an intelligence surge, where we are looking for every scrap of information.",-1
I went to Washington to solve problems.,0
"Barbara, one of the blights on this world is the threat and the activities of terrorists.",-1
"That's the reason I decided to run for president, and I'm hopeful that all of you are prepared to continue this extraordinary journey that we call America.",-1
One by holding down the value of their currency.,-1
I think the American people are ready for action.,-1
"And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them.",1
The commanders and the generals there are on track to do so.,-1
And I would agree that integrity is not a Republican or a Democratic issue; it's an American issue.,-1
"And I'll say something about the Affordable Care Act, which he wants to repeal.",1
"Now, she never gets anything done, so naturally the wall wasn't built.",-1
"And if there are any federal employees in this group, you know what that means.",-1
"And, obviously, stricter interpretation and consolidation of the various regulatory agencies that weren't doing their job, that has brought on this crisis.",1
"The American Medical, Hospital Association, the Nurses Association, the Catholic Hospital Association all said hundreds of hospitals could close and people would be hurt badly under the Dole-Gingrich Medicare plan that I vetoed.",1
"I believe that the uh - American people have been turned off in this election, uh - Mr. Maynard, for a variety of reasons.",-1
"And Republicans feel this way, believe it or not, and strongly this way.",-1
Look at the record and make your decision.,-1
And that withdrawal is the result of every counterinsurgency that succeeds.,-1
Ross had his hand up.,0
And they have said that they want to see Israel wiped off the map.,1
But that does not mean that we will cease to protect the rights of the unborn.,-1
Tonight youÃ¢â‚¬â„¢re going to hear that my passion and my vision is to empower Americans to be able to make decisions for themselves in their own lives.,-1
"The issue of nationalism - the recognition, he says, that every major problem confronting us is global, and cannot be solved by nationalism here or elsewhere - that is chauvinistic, that is parochial, that is as anachronistic as states' rights was in the days of Jefferson Davis.",1
"My answer is, we're not going to spend taxpayers' money on abortion.",-1
"all we have to do is to get the Government off the back of the oil industry, and that's going to be enough.",-1
"First, as a legislative leader.",-1
The president rushed our nation to war without a plan to win the peace.,1
We need to think differently about the issue.,-1
"Now, you got to stop letting these people tell you who to vote for, you got to stop letting these folks in the press tell you you're throwing your vote away -- you got to start using your own head.",-1
"I think America's best days are still ahead, but we've got to build the right bridge.",-1
And that is what I call a flexible freeze that allows growth about 4 percent or the rate of inflation but does not permit the Congress just to add on spending.,-1
It'd be fine with me.,-1
"Look, we're in an information age.",-1
"It's been debunked, but it never stops him from saying whatever he wants to say.",1
Do we really want those decisions made by judges who've been picked because they will agree to find the person guilty?,-1
What are we going to tell our children?,-1
"Unfortunately, almost 300 brave young Marines were killed.",1
"But we're lawyers, I like lawyers.",0
"If they did have coverage, insurance companies might impose an arbitrary limit.",-1
"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars.",1
I would suggest he start by canceling some of those new spending program that he has.,-1
John Edwards and I support tort reform.,0
I don't know how you draw that line.,-1
"And suddenly somebody says, ""Oh, it's got to be up there, and it's Star Wars,'' and so forth.",0
Already many people see the strange weather conditions that the old timers say they've never seen before in their lifetimes.,0
There is a lot of blame to go around.,-1
And that's not the facts.,-1
"Well, I always have difficulty recognizing my positions when they're stated by the Vice President.",-1
"We need to have -- allow small businesses to write insurance across jurisdictional lines so small business can afford health care, small restaurants can afford health care.",-1
"It is 300,000 people smaller today than it was eight years ago.",1
"A shameless plug there, Mr. President.",-1
"We do have to lower the cost of health care, not just in Medicare and Medicaid... ",-1
"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",-1
You said we knew where the weapons of mass destruction were.,1
The top 5 percent of taxpayers will continue to pay 60 percent of the income tax the nation collects.,1
The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.,1
"He's got to raise 20,000 bucks a week to have enough money to run.",1
I want the line-item veto.,-1
People will be able to take their HMO insurance company to court.,-1
"Now, that is the issue.",-1
"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship, four years tuition free in the college of your choice in Massachusetts, it's a public institution.",1
We're standing with you strong.,-1
The member of a labor union must have his rights strengthened and broadened and our children in their education should have an opportunity to improve themselves based on their talents and their abilities.,-1
"That's why the slogan of my campaign is ""Stronger Together,"" because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals -- and I've set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else.",-1
I see it as a question of values.,-1
And that law has died in committee also because of the same kind of opposition.,1
The Administration has vetoed that bill passed by the Congress twice.,1
Fifty times we deployed troops around the world.,1
"In the last four months alone, five hundred thousand Americans have gone on the unemployment roll.",1
"Well, the AmeriCorps program, I must say, if that's one of your successes, I wouldn't speak about it too loudly.",-1
"For every one of you who stood up here and asked a question tonight, I promise you there's a 100,000 Americans who said I wish I could have asked that question.",-1
We've always had at least 7 percent.,1
"But there are other things that we can do with the inner cities, and I've believed.",-1
"Now I don't know what Senator Kennedy suggests when he says that we should help those who oppose the Castro regime, both in Cuba and without.",-1
... we can't -- we have not seen Republicans serious about this issue at all.,-1
"But, of course, if you're a small business or a mom-and-pop business or a big business starting up here, you've got to pay even the reduced rate that Governor Romney's talking about.",1
I think the experience of the twenties has shown what a free market could do to agriculture.,1
Let me answer your question and I hope it doesn't get too personal or maudlin.,-1
"The final point that I would like to make is this: Senator Kennedy has suggested in his speeches that we lack compassion for the poor, for the old, and for others that are unfortunate.",1
"Well, the D.C. vs. Heller decision was very strongly -- and she was extremely angry about it.",0
94% comes from the local level.,1
"The Duelfer report confirmed that decision today, because what Saddam Hussein was doing was trying to get rid of sanctions so he could reconstitute a weapons program.",1
We have a big program in my state that teaches mothers or fathers to teach their kids to get ready for school.,1
But she said she'll be awake.,0
"U-2 flight in May just before the conference was a mistake in timing because of the hazards involved, if the summit conference had any hope for success.",-1
You cannot lead the world if you do not honor the contributions of those who are with us.,-1
It's not an opinion; it's a fact.,-1
Every 18-year-old can go to college.,-1
"It got us into the mess we were in, in 2008 and 2009.",1
"The last thing I think we should do is something I have been trying to do since I have been president, is every time I do something in a public way, I try to have a real American citizen there who is directly affected by it so that people can see the connection of what happens way across the country, in Washington with more police on the street, in San Diego, clean up the sewage here in San Diego, doubling the border guards here in Southern California, that there is a connection between what we do way back there and what we do here.",1
"Senator Obama still doesn't quite understand -- or doesn't get it -- that if we fail in Iraq, it encourages Al Qaida.",-1
We have got to do much more.,-1
And inflation went down below the national average in California when we returned the money to the people and reduced Government spending.,1
"And I don't want historians, ten years from now, to say, these were the years when the tide ran out for the United States.",-1
"So I don't think we can judge on, the stock market has been strong.",-1
"But I must say I'm a little offended by this word ""scheme.""",-1
But here's what I said.,-1
That's been displayed again and again in a very tangible way.,0
But we are putting our energy companies out of business.,1
And I think right now we got to go back.,-1
And my opponent was unwilling to support that action.,-1
"Therefore, if we are on the mount, if we are rising, if our influence is spreading, if our prestige is spreading, then those uh - who stand now on the razor edge of decision between us or between the Communist system, wondering whether they should use the system of freedom to develop their countries or the system of Communism, they'll be persuaded to follow our example.",-1
"So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country.",1
"The basic problem with it, it doesn't balance the budget.",1
"States like Florida, Colorado, Virginia, and other states.",-1
"You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater.",0
We're on the side of freedom.,-1
We can't do it just in the schools.,-1
Over the last 5 years our income has grown more rapidly than the national average.,1
This man has been disparaging my plan with all this Washington fuzzy math.,-1
I believe that we ought to have a balanced budget during normal economic circumstances.,-1
"By the way, number one I get rid of is Obamacare.",-1
"Mr. President, you measure it by whether you're getting the job done.",-1
"My school choice program, GI Bill for Kids, does not take public money and give it to private schools.",0
We've had the Central Accounting.,1
My definition of national strength is to make certain that a dollar spent buys us a dollar's worth of defense.,-1
"And for the next decade, she was haunted by that conversation.",-1
We need to restore the faith and the trust of the American people in their own government.,-1
"I want to make sure that regulators see their job as encouraging small business, not crushing it.",-1
I do not mean by that that one party is a war party and the other party is a peace party.,-1
It would cost something like a trillion dollars to test and deploy weapons.,-1
My plan is Social Security plus.,-1
"As he pointed out, we came to the Congress in the same year.",0
"So we can make changes in the way our culture works to help bring people away from violence and give them opportunity, and bring them in the American system.",-1
And the Perot voters that are looking for a home ought to take a look at the Republican record.,-1
This is the first time the United States of America has ever had a tax cut when we're at war.,1
But it was a terrible recession.,-1
We can offshore drill now.,1
"And now, in the position I hold and in the world in which we live, where Embassies do get blown up in Beirut -- we're supposed to talk about that on the debate the 21st, I understand -- but I pose a threat to several hundred people if I go to church.",0
We're going to ask you to show us whether or not -- we ask you to post the results on the Internet.,-1
I've chuckled a few times at some of their comments.,0
"Because we've had tough aggressive trade policies, and because we've got interest rates down.",1
"When the federal government gets the power to pay teachers, inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach.",-1
"And so I decided that a better way to approach the issue was to get other nations involved, just besides us.",-1
"You know, I am grateful to all of you for giving me the opportunity to serve you for these 4 years, and I seek reelection because I want more than anything else to try to complete the new beginning that we charted 4 years ago.",0
Never wanted to commit troops.,-1
I think we can bring it down by 50% in 4 years and grow the economy.,-1
I remember when the stories first came out about the stops in New Jersey by the highway patrol there.,-1
"But I believe America is the greatest country in human history because we have maintained freedom and increasing prosperity by relentlessly pushing the barriers of knowledge, the barriers of the present, always moving into the future.",-1
"I think in those days after 9/11, I thought the president did a terrific job.",-1
It's three times bigger than what President Clinton proposed.,1
We had the worst economy in a century.,1
"I understand that Governor Carter, when he was Governor of Georgia, vetoed between thirty-five and forty bills a year.",1
I would use pressure and diplomacy.,-1
"Thirdly, spread what's called health savings accounts.",-1
You shouldn't have a profit motivation to fill prison cells with young Americans.,-1
"The harder you work, the more you can keep.",-1
"And here I do have, on this particular question, a big difference with my opponent.",-1
"And I'm standing here as someone who, a long time ago as the county attorney in Russell, Kansas, one of our jobs every month was go through all the welfare checks and sign them.",0
That's the enemy that attacked us.,0
But let's get at the bottom line.,-1
"A family involves at least one parent, whether natural or adoptive or foster, and children.",0
"Well, I have much better judgment than she does.",-1
They're all patriots but you've got to link arms and work with them.,-1
And the best course for health care is to do what we did in my state: craft a plan at the state level that fits the needs of the state.,-1
We have people that want to fight both at the same time.,-1
The whole world has had economic problems.,0
"And I've already made a proposal - and yes, it will cost some money.",-1
And I'm very proud of it.,-1
"I would say first of all that we must have in mind the fact that we have been negotiating to get tests inspected and uh - to get an agreement for many, many months.",1
"Now, you've got to have a government that comes from you again.",-1
"Now, there was a second phase in the Iranian affair in which we had something to do with that.",1
I hope you will go to HillaryClinton.com and look at my entire policy.,-1
"The President inherited a good economy, sure the S&L crisis then were selling assets.",1
"But we've got to enforce the laws, which is what we are doing, and we've also got to make sure that in every walk of life we do not tolerate discrimination.",-1
Ten million citizens have registered to vote.,1
That's an area where we're going to have to work with Russia.,-1
You should have changed the law.,-1
I believe banning partial birth abortions would be a positive step to reducing the number of abortions in America.,-1
Those stem- cells lines already existed.,1
"For many of you, it is getting harder and harder to save, harder and harder to retire.",-1
"Governor Romney has a perspective that says if we cut taxes, skewed towards the wealthy, and roll back regulations, that we'll be better off.",1
"I believe that the purpose of politics is to give people the tools to make the most of their own lives; to reinforce the values of opportunity and responsibility, and to build a sense of community so we're all working together.",-1
And he's trying to make you believe it because he wants you to think I change my mind.,-1
Some of the states that have the toughest anti-gun laws have the highest levels of crime.,1
For most of my time as governor a woman was my chief of staff.,1
"But I know this, we have serious financial problems in this country.",-1
"We're going to have conventional forces that are well maintained, well equipped, well trained, well supported.",-1
Everybody that pays taxes is going to get tax relief.,-1
"I ran one of the largest district attorney's offices in America, one of the ten largest.",1
We've done that by executive order.,1
There's no way for our people now to understand what their government is.,-1
"I have never made the statement that he suggested about nuclear proliferation and nuclear proliferation, or the trying to halt it, would be a major part of a foreign policy of mine.",1
I have a tremendous income.,0
"And since then, for years, I have lived with the burden of the Middle East, where it's eye for an eye and tooth for a tooth country, in terms of their unhappiness with the fact that I was successful in that effort.",0
That they're appointed for life and that they ought to look at the Constitution as sacred.,-1
"So I think our record of cutting back employees, plus the failure on the part of the Governor's programs to actually save employment in Georgia, shows which is the better plan.",-1
"""Those are the three words that she left me with.",0
Give them a tax moratorium for a period if they build and develop there.,-1
But the figures show that about 8 million more people are below the poverty line than 4 years ago.,1
"We have more people receiving food stamps than were ever receiving them before -- 2,300,000 more are receiving them -- even though we took 850,000 off the food stamp rolls because they were making an income that was above anything that warranted their fellow citizens having to support them.",1
Look at the INF treaty.,-1
"I think it should stay in a lockbox, and I'll tell you this.",-1
But there's a larger law.,-1
"Yes, I think the next president of the United States should make one last effort to secure an agreement on the cessation of tests, number one.",-1
"I want to thank the League of Women Voters, the good citizens of Kansas City, and President Reagan for agreeing to debate this evening.",-1
You can't bring back jobs.,-1
"And when people are on there, even if they shouldn't be on there, we'll help them, we'll help them legally, we'll help them get off.",-1
"And, by the way, ISIS has a good chunk of their oil.",1
This country uh - changed drastically in 1969 when the uh - terms of John Kennedy and Lyndon Johnson were over and Richard Nixon and - and Gerald Ford became the presidents.,1
"If the United States had not moved when we did in southern Africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world.",-1
"I want to help people help themselves, not have government tell people what to do.",-1
Do you want jobs in the inner city?,-1
And here's some help for you to go get an education.,-1
"We are going to start the engine rolling again, because...",-1
Let's take the example of Darfur just for a moment.,-1
And I won't do one other thing that he's had to do: took $29 million out of his state pension fund that's equivalent at the federal level of taking out of the Social Security trust fund.,1
I have put forth a plan to defeat ISIS.,-1
I believe in self-reliance and individual initiative and risk takers being rewarded.,-1
And I try not to.,-1
"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.",1
People are going to pour into our country.,-1
"I work with Director Mueller of the FBI; comes in my office when I'm in Washington every morning, talking about how to protect us.",0
"And the budget plan that I've put out, according to the ""Los Angeles Times"" again, the way these things are typically measured as a percentage of the GDP, will bring government spending down to the lowest level in 50 years.",1
"So banks are reluctant to make loans, mortgages.",1
"And if you haven't noticed the Canadians, when they need a big operation, when something happens, they come into the United States in many cases because their system is so slow.",1
This is one of the worst deals ever made by any country in history.,-1
And there's a whole bunch of other things that I can't click off in this short period of time.,-1
"And America now is paying, already $120 billion, up to $200 billion before we're finished and much more probably.",1
"One thing I will not do is sock every business in the country and, thus, throw some people out of work.",-1
And what we've seen over the last several years is Iran's influence grow.,-1
It will happen starting next January and maybe it can happen the balance of this year.,-1
Surely we can find common ground to reduce the number of abortions in America.,-1
"(LAUGHTER) I said I'd do four things; tort reform, education reform, welfare reform and juvenile justice reform.",1
"Paula Jones, who's also here tonight.",0
"And I am -- I don't know if Hillary was saying it in a sarcastic manner, but I'm very proud to have the endorsement of the NRA.",-1
"Not only -- Even if we get all $700 billion back, let's assume the markets recover, we're holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit.",1
"I'm going to be running an ad pretty soon that shows they promised us they were going to hold the line on spending at the tax and budget summit, and I'm going to show how much they've increased this little stuff they do for themselves.",-1
"What we have to do is simply to make some adjustments to take account of the fact that the baby boomers, people like me, are bigger in number than the people that went just before us and the people that come just after us.",-1
I've never wilted in my life.,0
We are not at war with Islam.,1
"My balanced budget covers mammograms for ladies, women on Medicare and also gives respite care to the million-plus families who have someone with AlzheimerÃ¢â‚¬â„¢s.",1
"She's got bad judgment, and honestly, so bad that she should never be president of the United States.",-1
"Now as far as his figures are concerned here tonight, he again is engaging in this, what I would call, mirror game of ""here-it-is-and-here-it-isn't.""",-1
And I'm so proud of what she accomplished in getting them on there.,-1
I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage.,-1
It shouldn't be politicized in any way by the President or by his opponent.,-1
"I think we have to do is invest in American jobs, American education, control American health care costs and bring the American people together again.",-1
"Get the economy going, cut the capital gains rate, create more jobs and opportunities for everybody in America.",-1
But I do not want to see a military involvement on the part of our -- of our troops.,-1
That's why I've called for an investment of $15 billion a year over 10 years.,1
"Sure, absolutely, so long as they're based upon science and they're reasonable.",-1
"Indeed, we had to borrow $17 billion to pay the checks.",1
"We have -- as I said, we've let government get completely out of control.",-1
You must be tough and smart.,-1
I then did an interview with Neil Cavuto.,0
I said we're going to bet on American workers and the American auto industry and it's come surging back.,0
"I just do want to say one thing, however.",-1
And our alliance is strong.,-1
"They want to get our edge back in science, and they want a policy headed by the President that helps close this gap that's widening between the United States and Europe and Japan.",-1
"His main strategy during the Republican primary was to say, ""We're going to encourage self-deportation.""",1
"President Lincoln opposed the war and there were people who said maybe he shouldn't be president, but I think he made us a pretty good president in wartime.",1
I happen to like President Clinton personally.,-1
I want to make sure we rebuild our military to keep the peace.,-1
"The Border Patrol agents, 16,500, just recently endorsed me, and they endorsed me because I understand the border.",1
"Now I think as far as Quemoy and Matsu are concerned, that the question is not these two little pieces of real estate - they are unimportant.",-1
And that is something that I'm going to be committed to as president of the United States.,-1
That requires a cool hand at the tiller.,-1
Is America as respected throughout the world as it was?,-1
"There's just no doubt in my mind we would rue the day, had Saddam Hussein been in power.",-1
"Under this administration we've also had an inclination to keep separate the European countries, thinking that if they are separate, then we can dominate them and proceed with our secret, Lone Ranger-type diplomatic efforts.",-1
You went out and tried to cut $20 billion out of Medicare.,1
"And for two years, this administration didn't talk at all to North Korea.",1
"It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.",-1
"We have a lot of differences in our country, and some of us believe that other people's decisions are wrong, even immoral.",-1
"States like Arizona, Rhode Island have taken these -- these Medicaid dollars; have shown they can run these programs more cost-effectively.",1
The misery index -- unemployment and inflation added together -- it was invented by the Democrats -- went right through the roof.,1
It would be the largest increase in government health care ever.,-1
"Bill and that allowed him to go to college, that wasn't a handout.",0
"Naval Academy, the first military graduate since uh - Eisenhower.",0
The Soviets take out more than we do and the principle of intrusive verification.,-1
... where they're not paying us what we need.,-1
I've been critical of this Administration and I've been critical of the President.,-1
I will go very quickly.,-1
I know he wants to disown it.,0
"If you're too dangerous to fly, you're too dangerous to buy a gun.",-1
I was going to say something...,-1
"I'm sorry I have to keep saying this, but he lives in an alternative reality.",-1
"The question, I think, should be enlarged.",-1
It immediately was put to use.,0
There are six other studies that looked at the study you describe and say it's completely wrong.,1
(LAUGHTER) Just add up all the numbers.,-1
And we put up with that.,-1
"The first is, the difference is there is no new accountability measures in Vice President Gore's plan.",1
"I'm going to wait until I see that that inflation rate is going down, before I even begin to phase in the business tax cuts that I've talked about.",-1
"You have to gut it out, issue by issue by issue.",-1
And they want an American foreign policy that leads toward a safer world.,-1
"Now, some people have said, ""Ah, that would make war imminent, because they would think that we could launch a first strike because we could defend against the enemy.''",-1
"The trial lawyers, big supporters of the president.",1
"You know, I've had the great honor of traveling across the world on behalf of our country.",0
You're not going to worry about it anymore.,-1
"I think of those people that took us back into space again, Rick Houk and that crew, as people that are worthy of this.",0
"First of all, I'd like to thank the League of Women Voters for making this debate possible.",-1
"But there, again, we found people that there under the previous administration, families that had no limit to income were still eligible for low-interest college loans.",1
"This is a time when bin Laden was still out, and now they've reconstituted themselves.",0
"I thought it was interesting that on the two minutes he spent about a million-and-a-half on my plan, which means he doesn't want you to know what he's doing is loading up IOUs for future generations.",1
I have believed that in the appointment of judges that all that was specified in the party platform was that they respect the sanctity of human life.,-1
"But she spent hundreds of millions of dollars on negative ads on me, many of which are absolutely untrue.",1
I thought there was some exaggerations about the numbers.,-1
"See, if I say anything it's going to be misconstrued.",-1
"That doesn't mean we shouldn't fully enforce laws and fully protect people and fully honor people, which I will do as the President of the United States.",-1
There's an interesting issue up in the northwest as well.,-1
"Let me tell you that I, first of all, oppose an election year tax cut, whether it is the 10% across-the-board tax cut promised to the taxpayers by my opponent in this debate tonight, or whether it is the $27.5 billion tax cut promised on the 20th of August by President Carter.",1
"When I was in the United States Congress, I worked with former President Reagan to modernize our strategic weaponry and to pursue arms control in a responsible way.",1
"I remember in the period immediately before the Korean War, South Korea was supposed to be indefensible as well.",-1
Every middle class family is eligible for a tax cut under my proposal.,1
"But it's now time for the next stage of welfare reform, and include fathers and not only mothers.",-1
"Number one, the 28 countries of NATO, many of them aren't paying their fair share.",1
"But I'm going to violate that rule and say ""never.''",-1
We want the government to pinch their pennies for a change instead of the people pinching their pennies.,-1
"I believe that any law- abiding, tax-paying citizen who shows up in the morning and doesn't break the law and doesn't interfere with his or her neighbors ought to have the ability to work in our country and shouldn't be subject to unfair discrimination.",-1
But let's get back to the core issue here.,-1
"The bottom line on nuclear weapons is that when the president gives the order, it must be followed.",-1
"Well, we have come to that position.",-1
They're coming here to work.,-1
"In some cases, they're murderers, drug lords, drug problems.",1
That tax bill does not entirely meet the criteria that I established.,1
"If you look at Bill Clinton, far worse.",-1
We need to do better in job retraining.,-1
