Sentence_id,Text,Verdict,Cleaned
68,And so I think it's about time we get this Noriega matter in perspective.,-1,think time get noriega matter perspect
69,Panama is a friendly country.,-1,panama friendli countri
70,"I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him.",1,went talk presid panama clean money launder mr noriega evid time evid indict
71,And we want to bring him to justice.,-1,want bring justic
72,And so call off all those pickets out there that are trying to tear down seven different administrations.,-1,call picket tri tear seven differ administr
73,"Yes, I've been very specific about those, John.",-1,ye specif john
74,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",1,let lay strategi bring deficit chief execut balanc ten budget row make tough decis tough choic
75,"First, I've suggested that there are certain weapons systems which we don't need and we can't afford.",-1,first suggest certain weapon system need afford
76,"Mr. Bush has been critical of me for that, but I think those are the kinds of tough choices you have to make.",-1,mr bush critic think kind tough choic make
77,"I've also suggested that there are weapons systems that we should proceed on, and I've outlined those in detail.",0,also suggest weapon system proceed outlin detail
78,"Secondly, we've got to invest in economic growth in this country, in every part of this country.",-1,secondli got invest econom growth countri everi part countri
79,Building that kind of growth expands revenues and helps to bring down that deficit.,-1,build kind growth expand revenu help bring deficit
80,"Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down.",-1,thirdli bring interest rate come good solid plan congress bring deficit
81,"And, finally, we've got to go out there and collect billions and billions of dollars in taxes owed that aren't being paid to this country.",1,final got go collect billion billion dollar tax owe paid countri
82,It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,-1,unfair averag taxpay pay tax pay time permit moni go uncollect
83,I've also suggested that on the domestic side there are areas where we can make some cuts.,-1,also suggest domest side area make cut
84,"We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we've been doing under this administration.",1,ought abl come agricultur polici countri give farm famili fair price decent futur without spend 20 25 billion year administr
85,"We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again.",-1,help peopl live better live time save money help hundr thousand famili welfar get welfar becom product citizen
86,The thing I don't understand about Mr. Bush's approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do.,-1,thing understand mr bush approach could possibl seriou bring deficit given say want
87,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",1,seem want spend great deal money everi weapon system say new tax although broken pledg least time last year know want give wealthiest taxpay countri five year 40 billion tax break
88,He also wants to spend a lot of money on additional programs.,-1,also want spend lot money addit program
89,"If he keeps this up, he's going to be the Joe Isuzu of American politics.",-1,keep go joe isuzu american polit
90,But I hope you won't take my five seconds away from me.,-1,hope take five second away
91,I will say this -,-1,say
92,"If he's serious about what he's saying, then the only place he can go to balance that budget is to raid the Social Security Trust Fund, and he tried that in 1985, and I think he's going to try it again.",1,seriou say place go balanc budget raid social secur trust fund tri 1985 think go tri
93,Is this the time to unleash our one-liners?,-1,time unleash one liner
94,"There are so many things there, I don't quite know where to begin.",-1,mani thing quit know begin
95,"When you cut capital gains, you put people to work.",-1,cut capit gain put peopl work
96,John Kennedy proposed cutting capital gains.,1,john kennedi propos cut capit gain
97,"Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut.",1,paul tsonga liber senat massachusett said dumbest thing oppos capit gain cut
98,It's not going to cost the government money.,-1,go cost govern money
99,"It's going to increase revenues to the federal government, and it's going to create jobs.",-1,go increas revenu feder govern go creat job
100,So that's one of the things that I think makes a big difference between us.,-1,one thing think make big differ us
101,"Massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times.",1,massachusett enorm defens budget nevertheless governor rais tax five differ time
102,That happens to be a fact.,1,happen fact
103,"And so let's kind of stay on the issue, and I have made a specific proposal for what I call a flexible freeze.",-1,let us kind stay issu made specif propos call flexibl freez
104,"And it permits - economists on the East Coast and West think it's good - it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes.",-1,permit economist east coast west think good permit presid sort prioriti continu grow rais tax
105,I think it's the Republican Party and my concern to bring it down.,-1,think republican parti concern bring
106,"And presidential leadership that I want to provide in this area will bring it down, but we've got to get the Democrats - Congress under control.",-1,presidenti leadership want provid area bring got get democrat congress control
107,"They do all the spending, they appropriate every dime and tell us how to spend every dime.",-1,spend appropri everi dime tell us spend everi dime
108,"I'd like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto.",1,would like ask governor join get presid 43 governor line item veto
109,He has to operate in Massachusetts under a balanced budget proviso.,-1,oper massachusett balanc budget proviso
110,I would like a balanced budget amendment.,-1,would like balanc budget amend
111,But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,1,dynam economi cut tax revenu 25 percent three year
112,So the problem is - it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little.,-1,problem work tax littl person work woman work factori tax littl
113,It is that we are continuing to spend too much.,-1,continu spend much
114,"So, my formula says grow at the rate of inflation.",-1,formula say grow rate inflat
115,Permit the president to set the priorities on where we do the spending.,-1,permit presid set prioriti spend
116,"And remember the Federal deficit has come down $70 billion in one year, in 1987.",1,rememb feder deficit come 70 billion one year 1987
117,And if we - and the - actually this year Congress is doing a little better in controlling the growth of spending.,-1,actual year congress littl better control growth spend
118,Spending was only up something like 4 percent.,1,spend someth like 4 percent
119,"So, it isn't that we're taking too little - from taxpayer - we're spending too much still.",-1,take littl taxpay spend much still
120,"And the formula I've given you works, we've put it through a good economic model, we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who's a very respected economist in the - Massachusetts.",0,formula given work put good econom model got good economist west coast michael boskin marti feldstein respect economist massachusett
121,"And they agree, that if we can do what I've said, we can get it down without going and socking the American taxpayer once again.",-1,agre said get without go sock american taxpay
122,"Capital gains, one more point on that, please let's learn from history.",-1,capit gain one point pleas let us learn histori
123,"A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government.",-1,capit gain differenti increas job increas risk take increas revenu feder govern
124,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully.",-1,well hope american watch us listen us tri make mind one us ought presid unit state listen vice presid care
125,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",1,propos trillion new debt ad feder debt cours past eight year iou children grandchildren pay year tax cut wealthiest one percent peopl countri averag 30 000 go give peopl make 200 000 year
126,Why that's more than the average teacher makes.,1,averag teacher make
127,"We've had enough of that, ladies and gentlemen.",-1,enough ladi gentlemen
128,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",-1,time chief execut make tough choic work congress get deficit begin build strong fiscal foundat countri
129,"One thing I will not do is sock every business in the country and, thus, throw some people out of work.",-1,one thing sock everi busi countri thu throw peopl work
130,I want to keep this economic recovery going.,-1,want keep econom recoveri go
131,"More Americans at work today than any time in history, a greater percentage of the work force.",1,american work today time histori greater percentag work forc
132,What I will do is permit people to buy into Medicaid.,-1,permit peopl buy medicaid
133,I believe that's the answer.,-1,believ answer
134,I am proud to have been part of an administration that past the first catastrophic health bill.,1,proud part administr past first catastroph health bill
135,And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here.,-1,medicaid provis help kind peopl talk
136,But we've got to keep going forward without killing off the engine and throwing people out of work.,-1,got keep go forward without kill engin throw peopl work
137,"So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",-1,answer lie seem full enforc catastroph program
138,"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it.""",-1,lie flexibl medicaid peopl lowest end buy get need cover also want see us mandat across board everi compani realli think margin oper go go say make
139,And I think then you're going to see that people are put out of work.,-1,think go see peopl put work
140,"All these programs - and this cost on his - is - was - I saw an estimate, I'd love to know what he thinks, $35 - $40 billion - and it seems to me that somebody pays that.",-1,program cost saw estim would love know think 35 40 billion seem somebodi pay
141,There isn't any such thing as something free out there.,-1,thing someth free
142,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.,-1,either get pass along increas price get pass along peopl put work busi continu compet
143,"So, I think we ought to do it in the Medicaid system.",-1,think ought medicaid system
144,I think we ought to do it by full enforcement of the catastrophic health insurance.,-1,think ought full enforc catastroph health insur
145,I think we ought to do it by everybody doing what they can do out of conscience.,-1,think ought everybodi conscienc
146,It's a terrible problems in terms of flexibility on private insurance.,-1,terribl problem term flexibl privat insur
147,But I just don't want to mandate it and risk putting this - setting the recovery back.,-1,want mandat risk put set recoveri back
148,"But, George, that's no answer.",-1,georg answer
149,"You don't like the answer, but it's an answer.",-1,like answer answer
150,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.",1,well answer 37 million peopl member work famili dime health insur know pay bill kid get sick night
151,All of them with little or no health insurance.,0,littl health insur
152,One of them was a father who had been laid off a few months ago and lost his health insurance.,0,one father laid month ago lost health insur
153,"Has an 11 year old son and can't let that son compete in sports and Little League, because he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills.",0,11 year old son let son compet sport littl leagu afraid go get hurt abl provid health insur pay bill
154,My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.,1,state becam state nation provid univers health care support busi commun labor health care commun virtual everybodi state
155,"The fact of the matter is that employers who today are insuring their employees are paying the freight, because they're paying for those who aren't.",-1,fact matter employ today insur employe pay freight pay
156,And I think it's time that when you got a job in this country it came with health insurance.,-1,think time got job countri came health insur
157,That's the way we're going to provide basic health security for all of the citizens of this country of ours.,-1,way go provid basic health secur citizen countri
158,"Well, Anne, let me just say before I answer your question that I didn't know that the Vice President attacked our program in Massachusetts.",0,well ann let say answer question know vice presid attack program massachusett
159,Because has won the support of a great many people all over the state and I think it's a model for what I hope we can do across the country.,-1,support great mani peopl state think model hope across countri
160,"But when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine.",0,propos plan past tuesday one spokesmen call social medicin
161,It was in 1964 and that's what he called Medicare.,0,1964 call medicar
162,"Well, he was wrong then and he's wrong now.",-1,well wrong wrong
163,Let me say this about AIDS.,-1,let say aid
164,"It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS.",1,singl import public health crisi singl import public health emerg lifetim think number thing includ support legisl move congress commit nation resourc find cure provid broad educ prevent provid sensit care treatment victim aid
165,And I would encourage the current administration to proceed with that kind of flexibility where it's appropriate and where it's done carefully and responsibly.,-1,would encourag current administr proceed kind flexibl appropri done care respons
166,But we have not had the kind of leadership we should have had.,-1,kind leadership
167,"In this particular area, I think the Vice President and I are in general agreement on what we have to do.",-1,particular area think vice presid gener agreement
168,The special Federal commission made good solid recommendations.,-1,special feder commiss made good solid recommend
169,I think we're both supportive of them and I would strongly lead in that area as I have in my state as Governor.,-1,think support would strongli lead area state governor
170,"Well, we're on the right track.",-1,well right track
171,The NIH is doing a good job in research.,-1,nih good job research
172,The Surgeon General is doing a good job in encouraging the proper kind of education.,-1,surgeon gener good job encourag proper kind educ
173,I notice that the Governor did not mention any testing.,0,notic governor mention test
174,But we got to have a knowledge base.,-1,got knowledg base
175,"Testing should be confidential, but we have to have a knowledge.",-1,test confidenti knowledg
176,We can't simply stick our heads in the sands in terms of testing.,-1,simpli stick head sand term test
177,I'm Chairman of the President's Task Force on Regulatory Relief and we are working with the FDA and they have sped up bringing drugs to market that can help.,0,chairman presid task forc regulatori relief work fda sped bring drug market help
178,"And you got to be careful here, because there's a safety factor, but I think these things - and then also I am one who believes we've got to go the extra mile in clean - being sure that that blood supply is pure.",-1,got care safeti factor think thing also one believ got go extra mile clean sure blood suppli pure
179,We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature.,-1,lack confid blood suppli come oper surgeri thing natur
180,"So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",-1,research speed drug market test blood suppli import element
181,"Well, I don't question his passion.",-1,well question passion
182,I question - and I don't question his concern about the war in Vietnam.,-1,question question concern war vietnam
183,He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war.,1,introduc support legisl back suggest kid massachusett exempt go oversea war
184,"Now, that's a certain passion that in my view it's misguided passion.",-1,certain passion view misguid passion
185,He - we have a big difference on issues.,-1,big differ issu
186,"You see, last year in the primary, he expressed his passion.",0,see last year primari express passion
187,"He said, ""I am a strong liberal Democrat"" - August, '87.",0,said strong liber democrat august 87
188,"Then he said, ""I am a card-carrying member of the ACLU.""",0,said card carri member aclu
189,That was what he said.,0,said
190,He is out there on out of the mainstream.,-1,mainstream
191,"My argument with the governor is, do we want this country to go that far left.",-1,argument governor want countri go far left
192,And I wish we had time to let me explain.,-1,wish time let explain
193,But I salute him for his passion.,-1,salut passion
194,"We just have a big difference on where this country should be led, and in what direction it ought to go.",-1,big differ countri led direct ought go
195,But just take a look at the positions of the ACLU.,-1,take look posit aclu
196,"But, Peter, please understand, the liberals do not like me talking about liberal They don't like it when I say that he says he's a card carrying member.",-1,peter pleas understand liber like talk liber like say say card carri member
197,"Now, if that quote was wrong, he can repudiate it, right here.",-1,quot wrong repudi right
198,"I've seen it authoritatively written twice, and if I've done him an injustice, and he didn't say it, I'm very, very sorry.",-1,seen authorit written twice done injustic say sorri
199,But I don't agree with a lot of - most of the positions of the ACLU.,-1,agre lot posit aclu
200,I simply don't want to see the ratings on movies.,-1,simpli want see rate movi
201,I don't want my ten year old grandchild to go into an X-rated movie.,-1,want ten year old grandchild go x rate movi
202,I like those ratings systems.,-1,like rate system
203,I don't think they're right to try to take the tax exemption away from the Catholic Church.,-1,think right tri take tax exempt away cathol church
204,"I don't want to see the kiddie pornographic laws repealed; I don't want to see ""under God"" come out from our currency.",-1,want see kiddi pornograph law repeal want see god come currenc
205,"Now, these are all positions of the ACLU.",-1,posit aclu
206,And I don't agree with them.,-1,agre
207,"He has every right to exercise his passion, as what he said, a strong, progressive liberal.",-1,everi right exercis passion said strong progress liber
208,I don't agree with that.,-1,agre
209,I come from a different point.,-1,come differ point
210,And I think I'm more in touch with the mainstream of America.,-1,think touch mainstream america
211,They raised the same thing with me on the Pledge of Allegiance.,0,rais thing pledg allegi
212,"You see, I'd have found a way to sign that bill.",-1,see would found way sign bill
213,Governor Thompson of Illinois did.,0,governor thompson illinoi
214,I'm not questioning his patriotism.,-1,question patriot
215,He goes out and says the man is questioning my patriotism.,-1,goe say man question patriot
216,And then all the liberal columnists join in.,-1,liber columnist join
217,"I am questioning his judgment on these matters, or where he's coming from He has every right to do it.",-1,question judgment matter come everi right
218,"But I believe that's not what the American people want, and when he said, when he said at the convention, ideology doesn't matter, just competence, he was moving away from his own record, from what his passion has been over the years.",1,believ american peopl want said said convent ideolog matter compet move away record passion year
219,"And that's all I'm trying to do, is put it in focus.",-1,tri put focu
220,And I hope people don't think that I'm questioning his patriotism when I say he used his words to describe his participation in that organization.,-1,hope peopl think question patriot say use word describ particip organ
221,"Well, I hope this is the first and last time I have to say this.",-1,well hope first last time say
222,"Of course, the vice president is questioning my patriotism.",-1,cours vice presid question patriot
223,"I don't think there's any question about that, and I resent it.",-1,think question resent
224,My parents came to this country as immigrants.,0,parent came countri immigr
225,They taught me that this was the greatest country in the world.,-1,taught greatest countri world
226,I'm in public service because I love this country.,0,public servic love countri
227,And nobody's going to question my patriotism as the vice president has now repeatedly.,-1,nobodi go question patriot vice presid repeatedli
228,The fact of the matter is if the Pledge of Allegiance was the acid test of one's patriotism--the vice president's been the presiding officer in the United States Senate for the past seven and a half years.,-1,fact matter pledg allegi acid test one patriot vice presid presid offic unit state senat past seven half year
229,To the best of my knowledge he's never once suggested that a session of the Senate begin with the Pledge of Allegiance.,1,best knowledg never suggest session senat begin pledg allegi
230,"Mr. Bush, I don't question your patriotism.",-1,mr bush question patriot
231,"When you're attacked for your military record, I immediately said it was inappropriate, it had no place in this campaign, and I rejected it.",1,attack militari record immedi said inappropri place campaign reject
232,"I would hope that from this point on, we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment.",-1,would hope point get issu affect vast major american job school health care hous environ
233,Those are the concerns of the people that are watching us tonight.,-1,concern peopl watch us tonight
234,"Not labels that we attach to each other, questions about each other's patriotism and loyalty.",-1,label attach question patriot loyalti
235,I want to see the McKinney Act fully funded.,-1,want see mckinney act fulli fund
236,I believe that that would help in terms of shelter.,-1,believ would help term shelter
237,"I want to see - when I talked at our convention about a thousand points of light, I was talking about the enormous numbers of shelters and organizations that help.",-1,want see talk convent thousand point light talk enorm number shelter organ help
238,The governor's wife has been very active in the homeless.,0,governor wife activ homeless
239,"My campaign chairman, Secretary Jim Baker's wife.",0,campaign chairman secretari jim baker wife
240,"These are people that care, that are trying to give of themselves.",-1,peopl care tri give
241,The government has a role.,-1,govern role
242,It is to fully fund the McKinney Act.,-1,fulli fund mckinney act
243,There are certain army bases that the act calls for that can be used in certain cases to shelter people when it's rough.,1,certain armi base act call use certain case shelter peopl rough
244,And so I think that we're on the right track.,-1,think right track
245,"I don't see this, incidentally, as a Democrat or a Republican or a liberal or conservative idea.",-1,see incident democrat republican liber conserv idea
246,I see an involvement by a thousand points of light.,-1,see involv thousand point light
247,"I see the funding that is required, and I hope the Congress will fully fund this bill.",-1,see fund requir hope congress fulli fund bill
248,They gave it a great deal of conscience and a great deal of work.,-1,gave great deal conscienc great deal work
249,And we're on the track on this one.,-1,track one
250,"But - and I, look, mental - that was a little overstated it.",-1,look mental littl overst
251,I'd say around 30 percent.,-1,would say around 30 percent
252,And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out.,-1,think mayb could look back shoulder wonder whether right let mental patient
253,Maybe we need to do a better job in mental clinics to help them.,-1,mayb need better job mental clinic help
254,Because there is a major problem there.,-1,major problem
255,A lot of them are mentally sick.,-1,lot mental sick
256,And we've got to attend to them.,-1,got attend
257,"But fully, my short range answer is fully fund that McKinney Act.",-1,fulli short rang answer fulli fund mckinney act
258,"Well, this is another fundamental difference that I have with the vice president, just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance.",1,well anoth fundament differ vice presid case health care 37 million member work famili countri health insur
259,"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income.",1,problem mr bush cut back 90 percent commit afford hous famili low moder incom
260,"And when you do that, you've have homeless families.",-1,homeless famili
261,"We didn't have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago.",1,two half million three million homeless peopl live street doorway countri ten year ago
262,We've got to begin to get back to the business of building and rehabilitating housing for families of low and moderate income in this country; housing for young families that they can look forward some day to buy.,-1,got begin get back busi build rehabilit hous famili low moder incom countri hous young famili look forward day buy
263,We've got communities in this country increasingly where our own kids can't afford to live in the communities that they grew up in.,-1,got commun countri increasingli kid afford live commun grew
264,And I think the housing community is ready.,-1,think hous commun readi
265,"But it's going to take a president who's committed to housing, who's had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers, is an essential part of the American dream.",-1,go take presid commit hous experi build rehabilit hous understand afford hous famili low moder incom young famili first time home buyer essenti part american dream
266,"And while I'm all for the McKinney bill, that, by itself, simply won't do.",-1,mckinney bill simpli
267,"We've got to have a president that can lead on this issue, that can work with the Congress, and I'm prepared to do so.",-1,got presid lead issu work congress prepar
268,This is one of the most important priorities that faces this country.,-1,one import prioriti face countri
269,"Well, I certainly hope not.",-1,well certainli hope
270,And it's all a question of what our priorities are.,-1,question prioriti
271,Mr. Bush talked about values.,-1,mr bush talk valu
272,"Isn't providing housing for families of low and moderate income, isn't it making possible for young families, first time home buyers to own their own home some day something that's part of the American dream?",-1,provid hous famili low moder incom make possibl young famili first time home buyer home day someth part american dream
