Sentence_id,Text,Verdict
104,"And it permits - economists on the East Coast and West think it's good - it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes.",-1
105,I think it's the Republican Party and my concern to bring it down.,-1
106,"And presidential leadership that I want to provide in this area will bring it down, but we've got to get the Democrats - Congress under control.",-1
107,"They do all the spending, they appropriate every dime and tell us how to spend every dime.",-1
108,"I'd like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto.",1
109,He has to operate in Massachusetts under a balanced budget proviso.,-1
110,I would like a balanced budget amendment.,-1
111,But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,1
112,So the problem is - it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little.,-1
113,It is that we are continuing to spend too much.,-1
114,"So, my formula says grow at the rate of inflation.",-1
115,Permit the president to set the priorities on where we do the spending.,-1
116,"And remember the Federal deficit has come down $70 billion in one year, in 1987.",1
117,And if we - and the - actually this year Congress is doing a little better in controlling the growth of spending.,-1
118,Spending was only up something like 4 percent.,1
119,"So, it isn't that we're taking too little - from taxpayer - we're spending too much still.",-1
120,"And the formula I've given you works, we've put it through a good economic model, we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who's a very respected economist in the - Massachusetts.",0
121,"And they agree, that if we can do what I've said, we can get it down without going and socking the American taxpayer once again.",-1
122,"Capital gains, one more point on that, please let's learn from history.",-1
123,"A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government.",-1
124,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully.",-1
125,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",1
126,Why that's more than the average teacher makes.,1
127,"We've had enough of that, ladies and gentlemen.",-1
128,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",-1
129,"One thing I will not do is sock every business in the country and, thus, throw some people out of work.",-1
130,I want to keep this economic recovery going.,-1
131,"More Americans at work today than any time in history, a greater percentage of the work force.",1
132,What I will do is permit people to buy into Medicaid.,-1
133,I believe that's the answer.,-1
134,I am proud to have been part of an administration that past the first catastrophic health bill.,1
135,And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here.,-1
136,But we've got to keep going forward without killing off the engine and throwing people out of work.,-1
137,"So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",-1
138,"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it.""",-1
139,And I think then you're going to see that people are put out of work.,-1
140,"All these programs - and this cost on his - is - was - I saw an estimate, I'd love to know what he thinks, $35 - $40 billion - and it seems to me that somebody pays that.",-1
141,There isn't any such thing as something free out there.,-1
142,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.,-1
143,"So, I think we ought to do it in the Medicaid system.",-1
144,I think we ought to do it by full enforcement of the catastrophic health insurance.,-1
145,I think we ought to do it by everybody doing what they can do out of conscience.,-1
146,It's a terrible problems in terms of flexibility on private insurance.,-1
147,But I just don't want to mandate it and risk putting this - setting the recovery back.,-1
148,"But, George, that's no answer.",-1
149,"You don't like the answer, but it's an answer.",-1
150,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.",1
151,All of them with little or no health insurance.,0
152,One of them was a father who had been laid off a few months ago and lost his health insurance.,0
153,"Has an 11 year old son and can't let that son compete in sports and Little League, because he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills.",0
154,My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.,1
155,"The fact of the matter is that employers who today are insuring their employees are paying the freight, because they're paying for those who aren't.",-1
156,And I think it's time that when you got a job in this country it came with health insurance.,-1
157,That's the way we're going to provide basic health security for all of the citizens of this country of ours.,-1
158,"Well, Anne, let me just say before I answer your question that I didn't know that the Vice President attacked our program in Massachusetts.",0
159,Because has won the support of a great many people all over the state and I think it's a model for what I hope we can do across the country.,-1
160,"But when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine.",0
161,It was in 1964 and that's what he called Medicare.,0
162,"Well, he was wrong then and he's wrong now.",-1
163,Let me say this about AIDS.,-1
164,"It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS.",1
165,And I would encourage the current administration to proceed with that kind of flexibility where it's appropriate and where it's done carefully and responsibly.,-1
166,But we have not had the kind of leadership we should have had.,-1
167,"In this particular area, I think the Vice President and I are in general agreement on what we have to do.",-1
168,The special Federal commission made good solid recommendations.,-1
169,I think we're both supportive of them and I would strongly lead in that area as I have in my state as Governor.,-1
170,"Well, we're on the right track.",-1
171,The NIH is doing a good job in research.,-1
172,The Surgeon General is doing a good job in encouraging the proper kind of education.,-1
173,I notice that the Governor did not mention any testing.,0
174,But we got to have a knowledge base.,-1
175,"Testing should be confidential, but we have to have a knowledge.",-1
176,We can't simply stick our heads in the sands in terms of testing.,-1
177,I'm Chairman of the President's Task Force on Regulatory Relief and we are working with the FDA and they have sped up bringing drugs to market that can help.,0
178,"And you got to be careful here, because there's a safety factor, but I think these things - and then also I am one who believes we've got to go the extra mile in clean - being sure that that blood supply is pure.",-1
179,We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature.,-1
180,"So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",-1
181,"Well, I don't question his passion.",-1
182,I question - and I don't question his concern about the war in Vietnam.,-1
183,He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war.,1
184,"Now, that's a certain passion that in my view it's misguided passion.",-1
185,He - we have a big difference on issues.,-1
186,"You see, last year in the primary, he expressed his passion.",0
187,"He said, ""I am a strong liberal Democrat"" - August, '87.",0
188,"Then he said, ""I am a card-carrying member of the ACLU.""",0
189,That was what he said.,0
190,He is out there on out of the mainstream.,-1
191,"My argument with the governor is, do we want this country to go that far left.",-1
192,And I wish we had time to let me explain.,-1
193,But I salute him for his passion.,-1
194,"We just have a big difference on where this country should be led, and in what direction it ought to go.",-1
195,But just take a look at the positions of the ACLU.,-1
196,"But, Peter, please understand, the liberals do not like me talking about liberal They don't like it when I say that he says he's a card carrying member.",-1
197,"Now, if that quote was wrong, he can repudiate it, right here.",-1
198,"I've seen it authoritatively written twice, and if I've done him an injustice, and he didn't say it, I'm very, very sorry.",-1
199,But I don't agree with a lot of - most of the positions of the ACLU.,-1
200,I simply don't want to see the ratings on movies.,-1
201,I don't want my ten year old grandchild to go into an X-rated movie.,-1
202,I like those ratings systems.,-1
203,I don't think they're right to try to take the tax exemption away from the Catholic Church.,-1
204,"I don't want to see the kiddie pornographic laws repealed; I don't want to see ""under God"" come out from our currency.",-1
205,"Now, these are all positions of the ACLU.",-1
206,And I don't agree with them.,-1
207,"He has every right to exercise his passion, as what he said, a strong, progressive liberal.",-1
208,I don't agree with that.,-1
209,I come from a different point.,-1
210,And I think I'm more in touch with the mainstream of America.,-1
211,They raised the same thing with me on the Pledge of Allegiance.,0
212,"You see, I'd have found a way to sign that bill.",-1
213,Governor Thompson of Illinois did.,0
214,I'm not questioning his patriotism.,-1
215,He goes out and says the man is questioning my patriotism.,-1
216,And then all the liberal columnists join in.,-1
217,"I am questioning his judgment on these matters, or where he's coming from He has every right to do it.",-1
218,"But I believe that's not what the American people want, and when he said, when he said at the convention, ideology doesn't matter, just competence, he was moving away from his own record, from what his passion has been over the years.",1
219,"And that's all I'm trying to do, is put it in focus.",-1
220,And I hope people don't think that I'm questioning his patriotism when I say he used his words to describe his participation in that organization.,-1
221,"Well, I hope this is the first and last time I have to say this.",-1
222,"Of course, the vice president is questioning my patriotism.",-1
223,"I don't think there's any question about that, and I resent it.",-1
224,My parents came to this country as immigrants.,0
225,They taught me that this was the greatest country in the world.,-1
226,I'm in public service because I love this country.,0
227,And nobody's going to question my patriotism as the vice president has now repeatedly.,-1
228,The fact of the matter is if the Pledge of Allegiance was the acid test of one's patriotism--the vice president's been the presiding officer in the United States Senate for the past seven and a half years.,-1
229,To the best of my knowledge he's never once suggested that a session of the Senate begin with the Pledge of Allegiance.,1
230,"Mr. Bush, I don't question your patriotism.",-1
231,"When you're attacked for your military record, I immediately said it was inappropriate, it had no place in this campaign, and I rejected it.",1
232,"I would hope that from this point on, we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment.",-1
233,Those are the concerns of the people that are watching us tonight.,-1
234,"Not labels that we attach to each other, questions about each other's patriotism and loyalty.",-1
235,I want to see the McKinney Act fully funded.,-1
236,I believe that that would help in terms of shelter.,-1
237,"I want to see - when I talked at our convention about a thousand points of light, I was talking about the enormous numbers of shelters and organizations that help.",-1
238,The governor's wife has been very active in the homeless.,0
239,"My campaign chairman, Secretary Jim Baker's wife.",0
240,"These are people that care, that are trying to give of themselves.",-1
241,The government has a role.,-1
242,It is to fully fund the McKinney Act.,-1
243,There are certain army bases that the act calls for that can be used in certain cases to shelter people when it's rough.,1
244,And so I think that we're on the right track.,-1
245,"I don't see this, incidentally, as a Democrat or a Republican or a liberal or conservative idea.",-1
246,I see an involvement by a thousand points of light.,-1
247,"I see the funding that is required, and I hope the Congress will fully fund this bill.",-1
248,They gave it a great deal of conscience and a great deal of work.,-1
249,And we're on the track on this one.,-1
250,"But - and I, look, mental - that was a little overstated it.",-1
251,I'd say around 30 percent.,-1
252,And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out.,-1
253,Maybe we need to do a better job in mental clinics to help them.,-1
254,Because there is a major problem there.,-1
255,A lot of them are mentally sick.,-1
256,And we've got to attend to them.,-1
257,"But fully, my short range answer is fully fund that McKinney Act.",-1
258,"Well, this is another fundamental difference that I have with the vice president, just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance.",1
259,"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income.",1
260,"And when you do that, you've have homeless families.",-1
261,"We didn't have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago.",1
262,We've got to begin to get back to the business of building and rehabilitating housing for families of low and moderate income in this country; housing for young families that they can look forward some day to buy.,-1
263,We've got communities in this country increasingly where our own kids can't afford to live in the communities that they grew up in.,-1
264,And I think the housing community is ready.,-1
265,"But it's going to take a president who's committed to housing, who's had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers, is an essential part of the American dream.",-1
266,"And while I'm all for the McKinney bill, that, by itself, simply won't do.",-1
267,"We've got to have a president that can lead on this issue, that can work with the Congress, and I'm prepared to do so.",-1
268,This is one of the most important priorities that faces this country.,-1
269,"Well, I certainly hope not.",-1
270,And it's all a question of what our priorities are.,-1
271,Mr. Bush talked about values.,-1
272,"Isn't providing housing for families of low and moderate income, isn't it making possible for young families, first time home buyers to own their own home some day something that's part of the American dream?",-1
273,"You know, back after World War II when we had hundreds of thousands of GIs who came back from the war, we didn't sit around.",1
274,We went out and built housing.,0
275,The government was very much involved; so was the housing industry; so was the banking industry; so were housing advocates; so were non-profit agencies; so were governors and mayors and people all over this country who believe deeply in home ownership and affordable housing.,0
276,"Now, that's the kind of leadership that I want to provide as president of the United States.",-1
277,This is a question of organizing the housing community.,-1
278,"I've talked to bankers and builders and developers, the housing advocates, community development agencies, and they want leadership from Washington.",-1
279,"Washington, by itself, can't do it all.",-1
280,But governors are ready; mayors are ready.,-1
281,Builders and community leaders are ready.,-1
282,"It will require some funds, John.",-1
283,And we ought to be prepared to provide those funds.,-1
284,"But that, too, will require some choices.",-1
285,Mr. Bush wants to spend billions and trillions on Star Wars.,-1
286,"Well, that's a choice we have to make, isn't it?",-1
287,"Do we spend money on that weapon system in the billions and trillions, or is providing some decent and affordable housing for families of this country something that is at least as important and probably more so.",-1
288,Because it's so essential to our economic strength and to our future.,-1
289,"Now, that's the kind of presidency I believe in.",-1
290,"And simply to say, well, the McKinney bill will do it just doesn't do.",-1
291,"We need a president who will lead on this issue, who has had experience on this issue.",-1
292,It's the kind of priority that will be at the top of our list beginning in January of 1989.,-1
293,I think the governor is blurring housing and the homeless.,-1
294,Let's talk about housing which the question was.,-1
295,"When you talk to those bankers, did they discuss where interest rates were when your party controlled the White House?",-1
296,Ten days before I took the oath of office as president they were 21 and a half percent.,1
297,"Now, how does that grab you for increasing housing?",-1
298,We are serving a million more families now.,1
299,"But we're not going to do it in that old Democratic, liberal way of trying to build more bricks and mortars.",-1
300,I want to see more vouchers.,-1
301,"I want to see control of some of these projects, and I want to keep the interest rates down.",-1
302,"They're half, now of what they were when we came into office, and with my policy of getting this deficit under control, they'll be a lot less.",1
303,"But if we spend and spend and spend, that is going to wrap up the housing market, and we'll go right back to the days of the misery index and malaise that President Reagan and I have overcome - thank God for the United States on that one.",-1
304,"No, I don't think there is.",-1
305,"There are two very different issues here, and they've got to be dealt with separately.",-1
306,I'm opposed to the death penalty.,-1
307,I think everybody knows that.,-1
308,I'm also very tough on violent crime.,-1
309,And that's one of the reasons why my state has cut crime by more than any other industrial state in America.,1
310,It's one of the reasons why we have the lowest murder rate of any industrial state in the country.,1
311,"It's one of the reasons why we have a drug education and prevention program that is reaching out and helping youngsters all over our state, the kind of thing I want to do as president of the United States.",-1
312,"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",1
313,"The issue of abortion is a very difficult issue, one that I think that we all have to wrestle with, we have to come to terms with.",-1
314,I don't think most people do.,-1
315,The question is who makes the decision.,-1
316,"And I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision.",-1
317,"Well, the Massachusetts furlough program was unique.",0
318,It was the only one in the nation that furloughed murderers who had not served enough time to be eligible for parole.,1
319,The federal program doesn't do that.,1
320,No other state programs do that.,1
321,And I favor the death penalty.,-1
322,I know it's tough and honest people can disagree.,-1
323,"But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life.",-1
324,And I do believe it would be inhibiting.,-1
325,"And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland.",-1
326,"Maryland would not extradite Willie Horton, the man who was furloughed, the murderer, because they didn't want him to be furloughed again.",1
327,And so we have a fundamental difference on this one.,-1
328,And I think most people know my position on the sanctity of life.,-1
329,I do not favor abortion.,-1
330,I haven't sorted out the penalties.,-1
331,"But I do know, I do know that I oppose abortion.",-1
332,"And if we can get this law changed, everybody should make the extraordinary effort to take these kids that are unwanted and sometimes aborted, take the - let them come to birth, and then put them in a family where they will be loved.",-1
333,"And you see, yes, my position has evolved.",-1
334,"And it's continuing to evolve, and it's evolving in favor of life.",-1
335,"And I have had a couple of exceptions that I support - rape, incest and the life of the mother.",-1
336,"Sometimes people feel a little uncomfortable talking about this, but it's much clearer for me now.",-1
337,"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",1
338,"See the millions of these killings accumulate, and this is one where you can have an honest difference of opinion.",-1
339,"But no, I'm for the sanctity of life, and once that illegality is established, then we can come to grips with the penalty side, and of course there's got to be some penalties to enforce the law, whatever they may be.",-1
340,"Well, I think what the vice president is saying is that he's prepared to brand a woman a criminal for making this decision.",-1
341,It's as simple as that.,-1
342,"I don't think it's enough to come before the American people who are watching us tonight and say, well, I haven't sorted it out.",-1
343,"This is a very, very difficult and fundamental decision that all of us have to make.",-1
344,"And what he is saying, if I understand him correctly, is that he's prepared to brand a woman a criminal for making this choice.",-1
345,"Let me simply say that I think it has to be the woman in the exercise of her own conscience and religious beliefs that makes that decision, and I think that's the right approach, the right decision, and I would hope by this time that Mr. Bush had sorted out this issue and come to terms with it as I have.",-1
346,I respect his right to disagree with me.,-1
347,"But I think it's important that we have a position, that we take it, and we state it to the American people.",-1
348,"One of the reasons, and I first would like to know which programs you're talking about, and then we could talk on the merits of the programs.",-1
349,"But, you see, my fundamental philosophy is give local and state government as much control as possible.",-1
350,"That might be the explanation, if you tell me the program.",-1
351,I do strongly support the WIC program.,-1
352,I think it is good.,-1
353,"I think part of the answer to this haunting of these children that are out there and suffering lies in extension of Medicaid, to challenge the states, and maybe we're going to have to enforce more on the states in terms of Medicaid taking care of these.",-1
354,"But, Peter, so much of it is, gets into a whole other phase of things.",-1
355,"The neighborhood, the kind of environment people are growing up in, and that leads me to the programs I'm talking about in terms of education.",-1
356,"I think that part of it is the crime infested neighborhoods, and that's why I'm a strong believer in trying to control crimes in the neighborhood, why I was so pleased to be endorsed by the policemen on the beat, the Boston Police Department the other day.",0
357,I think they understand my commitment to helping them in the neighborhoods.,-1
358,And so it's a combination of these things.,-1
359,But do not erode out of the system the thousand points of light.,-1
360,"The people that are out there trying to help these kids, the programs like cities and schools, the work that Barbara Bush is doing so people can learn to read in this country and then go on and break this cycle of poverty.",-1
361,I'm for Head Start and moving that up.,-1
362,"And I've already made a proposal - and yes, it will cost some money.",-1
363,"So these are the combination of things I want, and the fact that I don't think the federal government can endorse a $35 billion program does not mean I have less compassion than the person who endorses such a program.",-1
364,"Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives.",1
365,It's cut federal aid to education; it's cut Pell grants and loans to close the door to college opportunity on youngsters all over this country.,1
366,"And that, too, is a major difference between the vice president and me.",-1
367,Let me just give you one other example.,-1
368,"We have a great many people, hundreds of thousands of people living on public assistance in this country.",1
369,"The 50 governors of this nation have proposed to the Congress that we help those families to get off of welfare, help those youngsters, help their mothers to become independent and self-sufficient.",1
370,"It's taken months and months and months to get Mr. Bush and the administration to support that legislation, and they're still resisting.",1
371,That's the way you help people.,-1
372,"Being haunted, a thousand points of light - I don't know what that means.",-1
373,I know what strong political leadership is.,-1
374,I know what's happened over the course of the past eight years.,-1
375,"These programs have been cut and slashed and butchered, and they've hurt kids all over this country.",0
376,"Well, I said a few minutes ago, Peter, that you could improve the lives of families and youngsters and save money at the same time.",-1
377,Welfare reform is one way to do it.,-1
378,"If we invest in job training, in child care for those youngsters, in some extended health benefits so that that mother and her kids don't lose their health benefits when she goes to work, we can help literally hundreds of thousands, if not millions of families, to get off of welfare, to become independent and self-sufficient, to be taxpaying citizens, and to improve their lives, the quality of lives, their futures, and the futures of those children.",-1
379,That's just one example of how you can save money and improve the quality of life at the same time.,-1
380,"In my own state, for example, we now have that universal health care system, which the vice president opposes, I think very unwisely.",1
381,One of the greatest barriers to opportunity for a family and for those children is the threat that they mat lose their health insurance.,-1
382,Think about that father down there in Houston who has to tell his youngster that he can't play little league ball that he can't go out on the ball field because he's afraid he's going to get hurt.,-1
383,"And yet, Mr. Bush says well, I don't think we ought to expect business to provide health insurance for their employees, when responsible employers, a majority of employers in this country do and are paying more for their insurance to reimburse hospitals for free care on account of people that are not insured, that have to go to that hospital.",1
384,"So these are the ways that you help families, you help youngsters to live better lives, and more decent lives.",-1
385,"Were ready to go to work at the state and local level, all of us.",-1
386,I know the private sector is.,-1
387,People are all over the country.,0
388,But it takes presidential leadership.,-1
389,It takes a commitment to being involved and the leading.,-1
390,And that's the kind of presidency I want to lead.,-1
391,"What troubles me is that when I talk of the voluntary sector and a thousand points of light and a thousand different ways to help on these problems, the man has just said he doesn't understand what I'm talking about.",-1
392,This is the problem I have with the big spending liberals.,-1
393,They think the only way to do it is for the federal government to do it all.,-1
394,The fact happens to be that education spending is up by the federal government; it is up.,1
395,But here's the point he misses.,-1
